iter	RMSE
0	0.9664143454
1	0.9434509659
2	0.9192290747
3	0.8967408308
4	0.8764910624
5	0.8558189932
6	0.8355521524
7	0.8174183152
8	0.8000805446
9	0.7828700941
10	0.7672773409
11	0.7511152951
12	0.7359630118
13	0.7216699746
14	0.7074949096
15	0.6944897237
16	0.6829718556
17	0.6691439106
18	0.6570769747
19	0.6460761126
20	0.6334027514
21	0.6207078477
22	0.6096387187
23	0.5986208517
24	0.5870323589
25	0.5763200942
26	0.5688004688
27	0.5606833529
28	0.5517608593
29	0.5448470706
30	0.5360238619
31	0.5290080207
32	0.5235985935
33	0.5170826379
34	0.5093722869
35	0.5027645333
36	0.4970152188
37	0.4908674039
38	0.4857795595
39	0.4792033742
40	0.4728007862
41	0.4682973587
42	0.4639451784
43	0.4586211218
44	0.455314033
45	0.4501086157
46	0.4449758139
47	0.4416572778
48	0.4382148191
49	0.434046245
50	0.431468033
51	0.4284901777
52	0.4244080155
53	0.42107772
54	0.4175739124
55	0.4149130329
56	0.4115694779
57	0.409408172
58	0.4057337337
59	0.4037564696
60	0.4014068424
61	0.3997374226
62	0.3965322587
63	0.3929618695
64	0.3899359959
65	0.3882901277
66	0.3857700762
67	0.3827224412
68	0.3799453126
69	0.3773625447
70	0.3758198094
71	0.3734126458
72	0.3718342506
73	0.3700768024
74	0.3681285727
75	0.3663560389
76	0.3646014841
77	0.3627240454
78	0.3610966191
79	0.3592982023
80	0.3579951021
81	0.355624407
82	0.35364487
83	0.3516625249
84	0.3498228265
85	0.3477799688
86	0.3456362425
87	0.3444232227
88	0.3424830589
89	0.3405975786
90	0.3386242584
91	0.337420998
92	0.3362532336
93	0.3349249072
94	0.3333607624
95	0.3321544572
96	0.3309569722
97	0.3293042048
98	0.327122043
99	0.325768671
100	0.3247039885
101	0.3235611854
102	0.3222794751
103	0.3213164164
104	0.3202215324
105	0.3194013095
106	0.3186918577
107	0.3176392934
108	0.31625772
109	0.3149027294
110	0.3133970545
111	0.3125364228
112	0.3116568759
113	0.3105122718
114	0.3094895818
115	0.3081980041
116	0.3072213919
117	0.3064349469
118	0.3057207741
119	0.3048915455
120	0.303678846
121	0.3032949795
122	0.3022088201
123	0.301509105
124	0.3001592406
125	0.2991650626
126	0.2983083764
127	0.2976222076
128	0.2972312394
129	0.2964581007
130	0.2954614515
131	0.2949443011
132	0.2940987454
133	0.2929236412
134	0.2921406781
135	0.2909809556
136	0.2900404451
137	0.2897012861
138	0.2890947342
139	0.288482048
140	0.2879407987
141	0.2871578952
142	0.2860222467
143	0.2850697587
144	0.2837794775
145	0.2832680196
146	0.282036549
147	0.2812243065
148	0.2804494445
149	0.2799798378
150	0.2790099142
151	0.2781812057
152	0.2773639873
153	0.2768781252
154	0.2759561151
155	0.275515754
156	0.2750632999
157	0.2745413765
158	0.2736988367
159	0.2732320761
160	0.2725493426
161	0.2718423948
162	0.2714464801
163	0.2708438741
164	0.2704765224
165	0.2701034783
166	0.2694450731
167	0.2683197515
168	0.2675099929
169	0.2662588138
170	0.2654136286
171	0.2648767929
172	0.264104615
173	0.2636636161
174	0.2630186043
175	0.2626558064
176	0.2622105273
177	0.2613517127
178	0.2604043745
179	0.2598252116
180	0.2593256991
181	0.2588471117
182	0.2583575133
183	0.2574902777
184	0.2567965194
185	0.2561921051
186	0.2558341764
187	0.2552581507
188	0.2549560838
189	0.2543824039
190	0.2535500113
191	0.2531771555
192	0.252860677
193	0.2520771136
194	0.251566475
195	0.2508698201
196	0.2501035201
197	0.2493172877
198	0.2490416029
199	0.2486974042
200	0.2481288553
201	0.2470165149
202	0.2463228166
203	0.2461047082
204	0.2458705033
205	0.245106912
206	0.244363973
207	0.2439647797
208	0.2434349345
209	0.2423049734
210	0.2419947759
211	0.2416100174
212	0.2413544983
213	0.2407711456
214	0.2405367656
215	0.2402238601
216	0.2396882434
217	0.2392122353
218	0.2386632947
